ExhibitionTitle,ExhibitionBeginDate,ExhibitionURL,DisplayName,Nationality,Gender
Cubism and Abstract Art,3/2/1936,http://www.moma.org/calendar/exhibitions/2748,"Alfred H. Barr, Jr.",American,Male
Modern Painters and Sculptors as Illustrators,4/27/1936,http://www.moma.org/calendar/exhibitions/2939,Monroe Wheeler,American,Male
Edward Steichen's Delphiniums,6/24/1936,http://www.moma.org/calendar/exhibitions/2940,Edward Steichen,American,Male
New Horizons in American Art,9/14/1936,http://www.moma.org/calendar/exhibitions/2942,Dorothy C. Miller,American,Female
American Art Portfolio,9/14/1936,http://www.moma.org/calendar/exhibitions/2943,George Caleb Bingham,American,Male
"John Marin: Watercolors, Oil Paintings, Etchings",10/19/1936,http://www.moma.org/calendar/exhibitions/2944,Alfred Stieglitz,American,Male
"Fantastic Art, Dada, Surrealism",12/7/1936,http://www.moma.org/calendar/exhibitions/2823,"Alfred H. Barr, Jr.",American,Male
New Acquisitions: Gifts of the Advisory Committee,2/10/1937,http://www.moma.org/calendar/exhibitions/2946,Jean (Hans) Arp,French,Male
Photography 1839–1937,3/17/1937,http://www.moma.org/calendar/exhibitions/2088,Beaumont Newhall,American,Male
Prehistoric Rock Pictures in Europe and Africa,4/28/1937,http://www.moma.org/calendar/exhibitions/2947,"Alfred H. Barr, Jr.",American,Male
Paintings by Paul Cézanne from the Museum,4/28/1937,http://www.moma.org/calendar/exhibitions/2948,Paul Cézanne,French,Male
Color Reproductions of Paintings by Cézanne,4/28/1937,http://www.moma.org/calendar/exhibitions/2949,Paul Cézanne,French,Male
Twelve Modern Paintings,4/28/1937,http://www.moma.org/calendar/exhibitions/2950,Jean (Hans) Arp,French,Male
Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan,6/23/1937,http://www.moma.org/calendar/exhibitions/2951,Aleksandr Archipenko,American,Male
Art Through the Window,7/1/1937,http://www.moma.org/calendar/exhibitions/2954,Rudolf Belling,German,Male
"The War, Etchings by Otto Dix and Armored Train, a Painting by Gino Severini",9/21/1937,http://www.moma.org/calendar/exhibitions/2926,Otto Dix,German,Male
"New Acquisitions: Dalí, Henry Moore, Chaim Gross",10/8/1937,http://www.moma.org/calendar/exhibitions/2955,Salvador Dalí,Spanish,Male
Paintings for Paris,11/8/1937,http://www.moma.org/calendar/exhibitions/2957,Thomas Hart Benton,American,Male
Spanish and U.S. Government Posters,11/15/1937,http://www.moma.org/calendar/exhibitions/2759,Mauricio Amster,Spanish,Male
Transitions and Contrasts in Painting and Sculpture,12/1/1937,http://www.moma.org/calendar/exhibitions/2958,Aleksandr Archipenko,American,Male
The Making of a Contemporary Film,12/21/1937,http://www.moma.org/calendar/exhibitions/2959,Iris Barry,American,Female
A New House by Frank Lloyd Wright,1/25/1938,http://www.moma.org/calendar/exhibitions/2962,Frank Lloyd Wright,American,Male
Alvar Aalto: Architecture and Furniture,3/15/1938,http://www.moma.org/calendar/exhibitions/1802,Alvar Aalto,Finnish,Male
Three Centuries of American Art,5/24/1938,http://www.moma.org/calendar/exhibitions/3597,Iris Barry,American,Female
Walker Evans: American Photographs,9/28/1938,http://www.moma.org/calendar/exhibitions/2968,Walker Evans,American,Male
The Prints of George Rouault,9/28/1938,http://www.moma.org/calendar/exhibitions/2969,Monroe Wheeler,American,Male
New Acquisitions,10/25/1938,http://www.moma.org/calendar/exhibitions/2971,Ernest Blumenschein,American,Male
Bauhaus: 1919–1928,12/7/1938,http://www.moma.org/calendar/exhibitions/2735,Herbert Bayer,American,Male
Williamsburg Competition,2/28/1939,http://www.moma.org/calendar/exhibitions/2972,Lawrence B. Anderson,American,Male
"Painting, Sculpture, Prints",5/10/1939,http://www.moma.org/calendar/exhibitions/2743,Jean (Hans) Arp,French,Male
Seven American Photographers,5/10/1939,http://www.moma.org/calendar/exhibitions/2973,Berenice Abbott,American,Female
Georges Méliès: A Film Pioneer,5/10/1939,http://www.moma.org/calendar/exhibitions/2974,Iris Barry,American,Female
Charles Sheeler,10/2/1939,http://www.moma.org/calendar/exhibitions/2855,Dorothy C. Miller,American,Female
Contemporary Unknown American Painters,10/18/1939,http://www.moma.org/calendar/exhibitions/2091,Sidney Janis,American,Male
Picasso: Forty Years of His Art,11/15/1939,http://www.moma.org/calendar/exhibitions/2843,"Alfred H. Barr, Jr.",American,Male
Paintings and Sculpture from the Museum Collection,1/12/1940,http://www.moma.org/calendar/exhibitions/2866,Jean (Hans) Arp,French,Male
Twelve Favorites: Paintings Selected by Students from the Museum Collection,1/31/1940,http://www.moma.org/calendar/exhibitions/2911,Paul Cézanne,French,Male
Modern Masters from European and American Collections,1/26/1940,http://www.moma.org/calendar/exhibitions/2796,Dorothy C. Miller,American,Female
Four American Traveling Exhibitions,4/3/1940,http://www.moma.org/calendar/exhibitions/2979,Dorothy C. Miller,American,Female
New Acquisitions: A Gift of Modern Sculpture,3/6/1940,http://www.moma.org/calendar/exhibitions/2918,Émile-Antoine Bourdelle,French,Male
American Designs for Abstract Film,4/3/1940,http://www.moma.org/calendar/exhibitions/2983,Iris Barry,American,Female
Twenty Centuries of Mexican Art,5/15/1940,http://www.moma.org/calendar/exhibitions/2985,Miguel Covarrubias,Mexican,Male
New Acquisitions: American Painting and Sculpture,7/26/1940,http://www.moma.org/calendar/exhibitions/2986,Raymond Breinin,American,Male
Portinari of Brazil,10/9/1940,http://www.moma.org/calendar/exhibitions/2987,Cândido Portinari,Brazilian,Male
Painting and Sculpture from the Museum Collection,10/23/1940,http://www.moma.org/calendar/exhibitions/2813,Jean (Hans) Arp,French,Male
"Frank Lloyd Wright, American Architect",11/13/1940,http://www.moma.org/calendar/exhibitions/2992,Frank Lloyd Wright,American,Male
"D.W. Griffith, American Film Master",11/13/1940,http://www.moma.org/calendar/exhibitions/2993,Iris Barry,American,Female
We Like Modern Art,12/27/1940,http://www.moma.org/calendar/exhibitions/2830,Aleksandr Archipenko,American,Male
Sixty Photographs: A Survey of Camera Esthetics,12/31/1940,http://www.moma.org/calendar/exhibitions/2089,Ansel Adams,American,Male
Pavlova Memorial Exhibition,1/7/1941,http://www.moma.org/calendar/exhibitions/2997,Arnold Genthe,American,Male
Indian Art of the United States,1/22/1941,http://www.moma.org/calendar/exhibitions/2998,René d'Harnoncourt,American,Male
New Acquisitions: A Gift of Paintings from a Trustee,5/6/1941,http://www.moma.org/calendar/exhibitions/1915,Pierre Bonnard,French,Male
Understanding Modern Art,5/6/1941,http://www.moma.org/calendar/exhibitions/2912,Jean (Hans) Arp,French,Male
Still Photographs from Hollywood Studios,5/6/1941,http://www.moma.org/calendar/exhibitions/3001,Iris Barry,American,Female
Britain at War,5/23/1941,http://www.moma.org/calendar/exhibitions/3002,Monroe Wheeler,American,Male
New Acquisitions: European Paintings,6/3/1941,http://www.moma.org/calendar/exhibitions/2924,Arbit Blatas,American,Male
Sculpture and Sculptor's Drawings,6/3/1941,http://www.moma.org/calendar/exhibitions/2910,Charles Despiau,French,Male
A History of American Movies,6/5/1941,http://www.moma.org/calendar/exhibitions/3003,Iris Barry,American,Female
A History of the Modern Poster,6/11/1941,http://www.moma.org/calendar/exhibitions/2760,Herbert Bayer,American,Male
Paul Klee,6/30/1941,http://www.moma.org/calendar/exhibitions/2816,Paul Klee,German,Male
Animals in Art; Designing a Stage Setting,7/1/1941,http://www.moma.org/calendar/exhibitions/3004,Peggy Bacon,American,Female
Abstract Painting; Shapes of Things,7/15/1941,http://www.moma.org/calendar/exhibitions/3005,Georges Braque,French,Male
Masterpieces of Picasso,7/16/1941,http://www.moma.org/calendar/exhibitions/2848,Pablo Picasso,Spanish,Male
National Defense Poster Competition,7/16/1941,http://www.moma.org/calendar/exhibitions/3006,John Atherton,American,Male
"New Acquisitions: Fantastic Art, Dada, Surrealism",7/23/1941,http://www.moma.org/calendar/exhibitions/2827,Jean (Hans) Arp,French,Male
Preliminary Course of the Bauhaus,7/29/1941,http://www.moma.org/calendar/exhibitions/3007,Josef Albers,American,Male
Techniques of Painting,8/4/1941,http://www.moma.org/calendar/exhibitions/3008,Jean Charlot,American,Male
Stockholm Builds,8/4/1941,http://www.moma.org/calendar/exhibitions/3009,Elizabeth Mock,American,Female
American Watercolors; Lettering and Arrangements in Poster Design,8/12/1941,http://www.moma.org/calendar/exhibitions/3010,Theo H. Ballmer,Swiss,Male
Ancestral Sources of Modern Painting,8/26/1941,http://www.moma.org/calendar/exhibitions/3011,Hieronymus Bosch,Netherlandish,Male
Photographs by David Octavius Hill and Robert Adamson,9/9/1941,http://www.moma.org/calendar/exhibitions/3012,Beaumont Newhall,American,Male
The Wooden House in America,9/9/1941,http://www.moma.org/calendar/exhibitions/3013,Gregory Ain,American,Male
Twenty Lithographs: Graphic Art Processes,9/16/1941,http://www.moma.org/calendar/exhibitions/3014,Peggy Bacon,American,Female
Organic Design in Home Furnishings,9/24/1941,http://www.moma.org/calendar/exhibitions/1803,Edward Durell Stone,American,Male
"New Acquisition: Vincent van Gogh, The Starry Night",9/30/1941,http://www.moma.org/calendar/exhibitions/2803,Vincent van Gogh,Dutch,Male
Buckminster Fuller's Dymaxion Deployment Unit,10/10/1941,http://www.moma.org/calendar/exhibitions/3015,R. Buckminster Fuller,American,Male
Modern Primitives: Artists of the People,10/21/1941,http://www.moma.org/calendar/exhibitions/1703,Patrocino Barela,American,Male
Image of Freedom,10/29/1941,http://www.moma.org/calendar/exhibitions/3018,Ansel Adams,American,Male
Joan Miró,11/19/1941,http://www.moma.org/calendar/exhibitions/2915,James Johnson Sweeney,American,Male
Salvador Dalí,11/19/1941,http://www.moma.org/calendar/exhibitions/2085,James Thrall Soby,American,Male
Useful Objects Under $10,12/2/1941,http://www.moma.org/calendar/exhibitions/2790,Alvar Aalto,Finnish,Male
American Photographs at $10,12/3/1941,http://www.moma.org/calendar/exhibitions/3021,Berenice Abbott,American,Female
Introduction to Modern Painting: Modern Posters,12/3/1941,http://www.moma.org/calendar/exhibitions/3022,Lester Beall,American,Male
"Sculpture by Maillol, to Celebrate his 80th Birthday",12/8/1941,http://www.moma.org/calendar/exhibitions/3023,Aristide Maillol,French,Male
Pictures for Children,12/10/1941,http://www.moma.org/calendar/exhibitions/3024,"Alfred H. Barr, Jr.",American,Male
New Acquisitions: Latin-American Art,1/13/1942,http://www.moma.org/calendar/exhibitions/3025,Wifredo Lam,Cuban,Male
New Acquisitions: Photographs,1/13/1942,http://www.moma.org/calendar/exhibitions/3026,Berenice Abbott,American,Female
Americans 1942: 18 Artists from 9 States,1/21/1942,http://www.moma.org/calendar/exhibitions/3028,Dorothy C. Miller,American,Female
The Artists' New York,1/28/1942,http://www.moma.org/calendar/exhibitions/2904,Berenice Abbott,American,Female
"U.S. Army Illustrators of Fort Custer, Michigan",2/4/1942,http://www.moma.org/calendar/exhibitions/3029,Monroe Wheeler,American,Male
New Acquisitions: American Drawings,2/18/1942,http://www.moma.org/calendar/exhibitions/3030,Peggy Bacon,American,Female
Photographs of the Civil War and the American Frontier,3/3/1942,http://www.moma.org/calendar/exhibitions/3031,Ansel Adams,American,Male
Children's Festival of Modern Art,3/11/1942,http://www.moma.org/calendar/exhibitions/2808,Jean (Hans) Arp,French,Male
New Acquisitions and Extended Loans: Cubist and Abstract Art,3/25/1942,http://www.moma.org/calendar/exhibitions/2836,Umberto Boccioni,Italian,Male
Two Years of War in England: Photographs by William Vandivert,4/15/1942,http://www.moma.org/calendar/exhibitions/3033,William Vandivert,American,Male
Mexican Costumes by Carlos Mérida,5/13/1942,http://www.moma.org/calendar/exhibitions/3037,Carlos Mérida,Guatemalan,Male
Road to Victory,5/21/1942,http://www.moma.org/calendar/exhibitions/3038,Herbert Bayer,American,Male
New Acquisitions: Free German Art,6/24/1942,http://www.moma.org/calendar/exhibitions/3042,Ernst Barlach,German,Male
Bambi: The Making of an Animated Sound Picture,7/15/1942,http://www.moma.org/calendar/exhibitions/3045,Iris Barry,American,Female
Camouflage for Civilian Defense,8/12/1942,http://www.moma.org/calendar/exhibitions/3046,Carlus Dyer,American,Male
New Posters from England,9/4/1942,http://www.moma.org/calendar/exhibitions/3049,Nicholas Bentley,British,Male
Modern Architecture for the Modern School,9/16/1942,http://www.moma.org/calendar/exhibitions/2302,Elizabeth Mock,American,Female
How to make a Photogram,9/16/1942,http://www.moma.org/calendar/exhibitions/3050,György Kepes,American,Male
How Modern Artists Paint People,9/22/1942,http://www.moma.org/calendar/exhibitions/3051,George Bellows,American,Male
Recent Acquisitions: Painting and Sculpture,9/30/1942,http://www.moma.org/calendar/exhibitions/2917,Christian Bérard,French,Male
20th Century Sculpture and Constructions,10/2/1942,http://www.moma.org/calendar/exhibitions/3053,Jean (Hans) Arp,French,Male
United Hemisphere Poster Competition,10/21/1942,http://www.moma.org/calendar/exhibitions/3115,"Alfred H. Barr, Jr.",American,Male
Tchelitchew: Paintings and Drawings,10/28/1942,http://www.moma.org/calendar/exhibitions/3117,James Thrall Soby,American,Male
The Sculpture of John B. Flannagan,10/28/1942,http://www.moma.org/calendar/exhibitions/3118,Dorothy C. Miller,American,Female
Twentieth Century Portraits,12/9/1942,http://www.moma.org/calendar/exhibitions/1732,Monroe Wheeler,American,Male
"New Acquisitions: Photography by Alfred Stieglitz, European and American Art",12/16/1942,http://www.moma.org/calendar/exhibitions/3122,Giorgio de Chirico,Italian,Male
Joe Milone's Shoe Shine Stand,12/22/1942,http://www.moma.org/calendar/exhibitions/3124,"Alfred H. Barr, Jr.",American,Male
Brazil Builds,1/13/1943,http://www.moma.org/calendar/exhibitions/2304,Philip L. Goodwin,American,Male
Faces and Places in Brazil: Photographs by Genevieve Naylor,1/27/1943,http://www.moma.org/calendar/exhibitions/3126,Genevieve Naylor,American,Female
Americans 1943: Realists and Magic-Realists,2/10/1943,http://www.moma.org/calendar/exhibitions/2854,Dorothy C. Miller,American,Female
New Acquisitions: The Eternal City by Peter Blume,3/3/1943,http://www.moma.org/calendar/exhibitions/3129,Peter Blume,American,Male
Birds in Color: Flashlight Photographs by Eliot Porter,3/10/1943,http://www.moma.org/calendar/exhibitions/2306,Eliot Porter,American,Male
Helen Levitt: Photographs of Children,3/10/1943,http://www.moma.org/calendar/exhibitions/2308,Helen Levitt,American,Female
Yank Illustrates the War,3/17/1943,http://www.moma.org/calendar/exhibitions/3130,James Thrall Soby,American,Male
The Latin-American Collection of the Museum of Modern Art,3/31/1943,http://www.moma.org/calendar/exhibitions/2897,Lincoln Kirstein,American,Male
Recent Acquisitions: May-Day Sketchbook of Diego Rivera; Soviet Posters,5/1/1943,http://www.moma.org/calendar/exhibitions/3132,Mikhail Cheremnykh,Russian,Male
War Caricatures by Hoffmeister and Peel,5/12/1943,http://www.moma.org/calendar/exhibitions/3133,Adolf Hoffmeister,Czech,Male
Five Paintings by Stanley Spencer,5/12/1943,http://www.moma.org/calendar/exhibitions/2311,Stanley Spencer,British,Male
Recent Acquisitions: The Work of Young Americans,6/17/1943,http://www.moma.org/calendar/exhibitions/3136,Jewett Campbell,American,Male
Tunisian Triumph: War Photographs by Eliot Elisofon,6/14/1943,http://www.moma.org/calendar/exhibitions/2312,Eliot Elisofon,American,Male
The Paintings of Morris Hirshfield,6/23/1943,http://www.moma.org/calendar/exhibitions/2313,Sidney Janis,American,Male
Airways to Peace,7/2/1943,http://www.moma.org/calendar/exhibitions/3138,Monroe Wheeler,American,Male
Guernica,7/26/1943,http://www.moma.org/calendar/exhibitions/3139,Pablo Picasso,Spanish,Male
Recent Acquisitions: European and American Paintings and Rugs,7/28/1943,http://www.moma.org/calendar/exhibitions/1910,Giorgio de Chirico,Italian,Male
Action Photography,8/18/1943,http://www.moma.org/calendar/exhibitions/2314,Nancy Newhall,American,Female
Magazine Cover Competition: Women in Necessary Civilian Employment,9/3/1943,http://www.moma.org/calendar/exhibitions/3142,Charles Coiner,Nationality unknown,Male
Alexander Calder,9/29/1943,http://www.moma.org/calendar/exhibitions/2870,James Johnson Sweeney,American,Male
Portraits,11/4/1943,http://www.moma.org/calendar/exhibitions/3144,Berenice Abbott,American,Female
Romantic Painting in America,11/17/1943,http://www.moma.org/calendar/exhibitions/2903,Dorothy C. Miller,American,Female
New Acquisitions: 12 American Paintings,1/19/1944,http://www.moma.org/calendar/exhibitions/2315,Matthew Rackham Barnes,American,Male
Pacific Report: Photos By Eugene Smith,5/10/1944,http://www.moma.org/calendar/exhibitions/2318,W. Eugene Smith,American,Male
Design for Use,5/24/1944,http://www.moma.org/calendar/exhibitions/2750,Serge Chermayeff,British,Male
"Built in the U.S.A., 1932–44",5/24/1944,http://www.moma.org/calendar/exhibitions/3385,Elizabeth Mock,American,Female
Posters,5/24/1944,http://www.moma.org/calendar/exhibitions/2761,Monroe Wheeler,American,Male
Photography,5/24/1944,http://www.moma.org/calendar/exhibitions/3386,Nancy Newhall,American,Female
Picasso Exhibition for Mexico City,6/26/1944,http://www.moma.org/calendar/exhibitions/3390,Pablo Picasso,Spanish,Male
Hayter and Studio 17: New Directions in Gravure,6/18/1944,http://www.moma.org/calendar/exhibitions/2777,Jankel Adler,Polish,Male
Paintings by Jacob Lawrence,10/10/1944,http://www.moma.org/calendar/exhibitions/3154,Jacob Lawrence,American,Male
Lyonel Feininger,10/24/1944,http://www.moma.org/calendar/exhibitions/3157,Dorothy C. Miller,American,Female
Manzanar: Photographs by Ansel Adams of Loyal Japanese-American Relocation Center,11/10/1944,http://www.moma.org/calendar/exhibitions/2332,Ansel Adams,American,Male
"Painting, Sculpture, Graphic Arts from the Museum Collection",11/15/1944,http://www.moma.org/calendar/exhibitions/2860,Paul Cézanne,French,Male
"The War Years: Color Reproductions of Works by Picasso, Matisse, Bonnard 1939–1943",11/14/1944,http://www.moma.org/calendar/exhibitions/3158,Pierre Bonnard,French,Male
George Méliès: Magician and Film Pioneer,12/27/1944,http://www.moma.org/calendar/exhibitions/3162,Iris Barry,American,Female
Power in the Pacific: Battle Photographs of our Navy in Action on the Sea and in the Sky,1/23/1945,http://www.moma.org/calendar/exhibitions/2336,Edward Steichen,American,Male
Recent Acquisitions,2/15/1945,http://www.moma.org/calendar/exhibitions/2874,Virginia Admiral,American,Female
What is Modern Painting?,3/6/1945,http://www.moma.org/calendar/exhibitions/3167,Jean (Hans) Arp,French,Male
Piet Mondrian,3/21/1945,http://www.moma.org/calendar/exhibitions/1934,James Johnson Sweeney,American,Male
Modern American Dance,3/28/1945,http://www.moma.org/calendar/exhibitions/3170,Barbara Morgan,American,Female
Georges Rouault,4/4/1945,http://www.moma.org/calendar/exhibitions/3171,James Thrall Soby,American,Male
Paul Strand: Photographs 1915–1945,4/25/1945,http://www.moma.org/calendar/exhibitions/2344,Nancy Newhall,American,Female
Works from the Museum Collection of Dance and Theatre Design,5/2/1945,http://www.moma.org/calendar/exhibitions/3173,Christian Bérard,French,Male
Tomorrow's Small House: Models and Plans,5/29/1945,http://www.moma.org/calendar/exhibitions/2346,Elizabeth Mock,American,Female
The Museum Collection of Painting and Sculpture,6/20/1945,http://www.moma.org/calendar/exhibitions/2861,"Alfred H. Barr, Jr.",American,Male
The Museum Collection of Photographs,6/20/1945,http://www.moma.org/calendar/exhibitions/2364,Berenice Abbott,American,Female
Fourteen Paintings by Vincent van Gogh,8/3/1945,http://www.moma.org/calendar/exhibitions/2366,Vincent van Gogh,Dutch,Male
Costume Carnival,9/19/1945,http://www.moma.org/calendar/exhibitions/3179,Salvador Dalí,Spanish,Male
Stuart Davis,10/17/1945,http://www.moma.org/calendar/exhibitions/3181,James Johnson Sweeney,American,Male
Portraits of Ondine: Dance and Theatre Design,11/28/1945,http://www.moma.org/calendar/exhibitions/3183,Christian Bérard,French,Male
Museum of Modern Art Color Reproductions,11/28/1945,http://www.moma.org/calendar/exhibitions/3184,Paul Cézanne,French,Male
If You Want to Build a House,1/8/1946,http://www.moma.org/calendar/exhibitions/3186,Elizabeth Mock,American,Female
Arts of the South Seas,1/29/1946,http://www.moma.org/calendar/exhibitions/3188,René d'Harnoncourt,American,Male
New Dormitories for Smith College,2/5/1946,http://www.moma.org/calendar/exhibitions/3189,Philip L. Goodwin,American,Male
Architecture in Steel: An Experiment in Standarization by Konrad Wachsmann,2/5/1946,http://www.moma.org/calendar/exhibitions/2370,Konrad Wachsmann,American,Male
Recent Acquisitions in Painting and Sculpture,2/6/1946,http://www.moma.org/calendar/exhibitions/2844,Georges Braque,French,Male
The Photographs of Edward Weston,2/13/1946,http://www.moma.org/calendar/exhibitions/2374,Nancy Newhall,American,Female
The Museum Collection of Painting,2/19/1946,http://www.moma.org/calendar/exhibitions/2862,Jean (Hans) Arp,French,Male
The Museum Collection of Sculpture,2/19/1946,http://www.moma.org/calendar/exhibitions/2892,Aleksandr Archipenko,American,Male
New Furniture Designed by Charles Eames,3/12/1946,http://www.moma.org/calendar/exhibitions/2732,Charles Eames,American,Male
Marc Chagall,4/9/1946,http://www.moma.org/calendar/exhibitions/2810,James Johnson Sweeney,American,Male
Original Illustrations of Children's Books,4/16/1946,http://www.moma.org/calendar/exhibitions/3192,Boris Artzybasheff,Russian,Male
Georgia O'Keeffe,5/14/1946,http://www.moma.org/calendar/exhibitions/2851,James Johnson Sweeney,American,Male
A New Country House by Frank Lloyd Wright: Scale Model,6/18/1946,http://www.moma.org/calendar/exhibitions/2375,Frank Lloyd Wright,American,Male
New Photographers,6/18/1946,http://www.moma.org/calendar/exhibitions/3194,Alfredo Boulton,Venezuelan,Male
